# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Crithagra_menachensis
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 70.00 mm
# Secondary1: 52.40 mm
# Kipps Distance: 17.60 mm
# Hand-Wing Index: 25.20
# Tail Length: 47.90 mm
# Aspect Ratio: 1.336
# Pointedness Index: 0.2514
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1194
# Max Thickness Position: 0.3349
# Max Camber/Chord: 0.0572
# Max Camber Position: 0.3598
# Leading Edge Radius: 0.0332
# LE Droop: 0.0030
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.11e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00994659,0.06263957
UPPER,2,0.03978638,0.11123366
UPPER,3,0.08288829,0.13853974
UPPER,4,0.29134560,0.16937735
UPPER,5,0.33488000,0.17654064
UPPER,6,0.37841440,0.16460182
UPPER,7,0.38209600,0.13117311
UPPER,8,0.48984000,0.08200825
UPPER,9,0.88000000,0.03126897
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00994659,-0.03889838
LOWER,2,0.03978638,-0.01820090
LOWER,3,0.08288829,-0.04295508
LOWER,4,0.29134560,-0.04313372
LOWER,5,0.33488000,-0.06223584
LOWER,6,0.37841440,-0.03597043
LOWER,7,0.38209600,0.00462157
LOWER,8,0.48984000,0.01872013
LOWER,9,0.88000000,0.00951257
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
