# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Progne_tapera
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 128.30 mm
# Secondary1: 65.20 mm
# Kipps Distance: 63.40 mm
# Hand-Wing Index: 49.30
# Tail Length: 62.70 mm
# Aspect Ratio: 1.968
# Pointedness Index: 0.4942
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0965
# Max Thickness Position: 0.3204
# Max Camber/Chord: 0.0515
# Max Camber Position: 0.3406
# Leading Edge Radius: 0.0266
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.56e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00797123,0.04782740
UPPER,2,0.03188493,0.09197775
UPPER,3,0.06642694,0.11680450
UPPER,4,0.27876540,0.14214583
UPPER,5,0.32042000,0.14793436
UPPER,6,0.36207460,0.13828680
UPPER,7,0.36353900,0.11127364
UPPER,8,0.47056000,0.07075312
UPPER,9,0.88000000,0.02727238
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00797123,-0.03188493
LOWER,2,0.03188493,-0.01286162
LOWER,3,0.06642694,-0.03228480
LOWER,4,0.27876540,-0.02958072
LOWER,5,0.32042000,-0.04501681
LOWER,6,0.36207460,-0.02379218
LOWER,7,0.36353900,0.00900952
LOWER,8,0.47056000,0.01839786
LOWER,9,0.88000000,0.00900567
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
