# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Dolichonyx_oryzivorus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 90.20 mm
# Secondary1: 58.50 mm
# Kipps Distance: 32.00 mm
# Hand-Wing Index: 35.40
# Tail Length: 61.80 mm
# Aspect Ratio: 1.542
# Pointedness Index: 0.3548
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1101
# Max Thickness Position: 0.3288
# Max Camber/Chord: 0.0551
# Max Camber Position: 0.3517
# Leading Edge Radius: 0.0304
# LE Droop: 0.0009
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.45e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00910745,0.05556468
UPPER,2,0.03642979,0.10278493
UPPER,3,0.07589539,0.12993598
UPPER,4,0.28602120,0.15855800
UPPER,5,0.32876000,0.16516189
UPPER,6,0.37149880,0.15415541
UPPER,7,0.37424200,0.12333727
UPPER,8,0.48168000,0.07765068
UPPER,9,0.88000000,0.02974208
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00910745,-0.03615379
LOWER,2,0.03642979,-0.01593675
LOWER,3,0.07589539,-0.03849291
LOWER,4,0.28602120,-0.03735732
LOWER,5,0.32876000,-0.05496769
LOWER,6,0.37149880,-0.03075343
LOWER,7,0.37424200,0.00666859
LOWER,8,0.48168000,0.01875113
LOWER,9,0.88000000,0.00937168
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
