# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Anthus_leucophrys
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 94.90 mm
# Secondary1: 67.70 mm
# Kipps Distance: 26.90 mm
# Hand-Wing Index: 28.40
# Tail Length: 69.40 mm
# Aspect Ratio: 1.402
# Pointedness Index: 0.2835
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1154
# Max Thickness Position: 0.3330
# Max Camber/Chord: 0.0566
# Max Camber Position: 0.3573
# Leading Edge Radius: 0.0323
# LE Droop: 0.0023
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.55e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00968533,0.06043200
UPPER,2,0.03874133,0.10809008
UPPER,3,0.08071111,0.13511359
UPPER,4,0.28967520,0.16502272
UPPER,5,0.33296000,0.17194565
UPPER,6,0.37624480,0.16040744
UPPER,7,0.37963200,0.12810047
UPPER,8,0.48728000,0.08038603
UPPER,9,0.88000000,0.03072473
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00968533,-0.03804533
LOWER,2,0.03874133,-0.01712500
LOWER,3,0.08071111,-0.04090233
LOWER,4,0.28967520,-0.04035732
LOWER,5,0.33296000,-0.05881845
LOWER,6,0.37624480,-0.03343440
LOWER,7,0.37963200,0.00579550
LOWER,8,0.48728000,0.01891595
LOWER,9,0.88000000,0.00952562
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
