# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Oriolus_auratus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 137.90 mm
# Secondary1: 93.00 mm
# Kipps Distance: 44.30 mm
# Hand-Wing Index: 32.30
# Tail Length: 83.60 mm
# Aspect Ratio: 1.483
# Pointedness Index: 0.3212
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1102
# Max Thickness Position: 0.3306
# Max Camber/Chord: 0.0558
# Max Camber Position: 0.3542
# Leading Edge Radius: 0.0312
# LE Droop: 0.0015
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.51e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00937326,0.05777955
UPPER,2,0.03749304,0.10403070
UPPER,3,0.07811049,0.13063048
UPPER,4,0.28763940,0.15932801
UPPER,5,0.33062000,0.16593767
UPPER,6,0.37360060,0.15492158
UPPER,7,0.37662900,0.12407653
UPPER,8,0.48416000,0.07825531
UPPER,9,0.88000000,0.03000805
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00937326,-0.03703104
LOWER,2,0.03749304,-0.01572961
LOWER,3,0.07811049,-0.03823600
LOWER,4,0.28763940,-0.03675837
LOWER,5,0.33062000,-0.05438412
LOWER,6,0.37360060,-0.03014872
LOWER,7,0.37662900,0.00730598
LOWER,8,0.48416000,0.01915908
LOWER,9,0.88000000,0.00953776
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
