# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Protonotaria_citrea
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 68.90 mm
# Secondary1: 48.90 mm
# Kipps Distance: 20.90 mm
# Hand-Wing Index: 30.00
# Tail Length: 42.70 mm
# Aspect Ratio: 1.409
# Pointedness Index: 0.3033
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1153
# Max Thickness Position: 0.3320
# Max Camber/Chord: 0.0562
# Max Camber Position: 0.3560
# Leading Edge Radius: 0.0318
# LE Droop: 0.0020
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.18e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00953498,0.05920985
UPPER,2,0.03813990,0.10744746
UPPER,3,0.07945813,0.13474435
UPPER,4,0.28884000,0.16460373
UPPER,5,0.33200000,0.17151993
UPPER,6,0.37516000,0.15999294
UPPER,7,0.37840000,0.12771736
UPPER,8,0.48600000,0.08008808
UPPER,9,0.88000000,0.03059659
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00953498,-0.03753990
LOWER,2,0.03813990,-0.01719888
LOWER,3,0.07945813,-0.04098156
LOWER,4,0.28884000,-0.04057674
LOWER,5,0.33200000,-0.05901993
LOWER,6,0.37516000,-0.03366055
LOWER,7,0.37840000,0.00553123
LOWER,8,0.48600000,0.01873721
LOWER,9,0.88000000,0.00945170
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
