# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Setophaga_pensylvanica
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 61.60 mm
# Secondary1: 46.50 mm
# Kipps Distance: 16.90 mm
# Hand-Wing Index: 26.60
# Tail Length: 46.20 mm
# Aspect Ratio: 1.325
# Pointedness Index: 0.2744
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1187
# Max Thickness Position: 0.3340
# Max Camber/Chord: 0.0569
# Max Camber Position: 0.3587
# Leading Edge Radius: 0.0326
# LE Droop: 0.0027
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00978685,0.06140111
UPPER,2,0.03914741,0.11040594
UPPER,3,0.08155710,0.13782741
UPPER,4,0.29061480,0.16849790
UPPER,5,0.33404000,0.17562110
UPPER,6,0.37746520,0.16374910
UPPER,7,0.38101800,0.13050750
UPPER,8,0.48872000,0.08160754
UPPER,9,0.88000000,0.03112002
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00978685,-0.03834341
LOWER,2,0.03914741,-0.01807502
LOWER,3,0.08155710,-0.04268309
LOWER,4,0.29061480,-0.04282370
LOWER,5,0.33404000,-0.06181890
LOWER,6,0.37746520,-0.03570050
LOWER,7,0.38101800,0.00466430
LOWER,8,0.48872000,0.01865788
LOWER,9,0.88000000,0.00947647
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
