# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ploceus_olivaceiceps
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 81.80 mm
# Secondary1: 58.70 mm
# Kipps Distance: 23.30 mm
# Hand-Wing Index: 28.40
# Tail Length: 44.60 mm
# Aspect Ratio: 1.394
# Pointedness Index: 0.2848
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1157
# Max Thickness Position: 0.3330
# Max Camber/Chord: 0.0566
# Max Camber Position: 0.3573
# Leading Edge Radius: 0.0323
# LE Droop: 0.0023
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.43e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00967827,0.06038962
UPPER,2,0.03871308,0.10826044
UPPER,3,0.08065225,0.13535890
UPPER,4,0.28967520,0.16534300
UPPER,5,0.33296000,0.17228637
UPPER,6,0.37624480,0.16071409
UPPER,7,0.37963200,0.12831172
UPPER,8,0.48728000,0.08048143
UPPER,9,0.88000000,0.03075199
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00967827,-0.03801708
LOWER,2,0.03871308,-0.01723403
LOWER,3,0.08065225,-0.04109995
LOWER,4,0.28967520,-0.04064352
LOWER,5,0.33296000,-0.05915917
LOWER,6,0.37624480,-0.03370016
LOWER,7,0.37963200,0.00564558
LOWER,8,0.48728000,0.01886824
LOWER,9,0.88000000,0.00951199
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
