# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Aplonis_striata
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 100.00 mm
# Secondary1: 74.00 mm
# Kipps Distance: 24.40 mm
# Hand-Wing Index: 24.80
# Tail Length: 70.40 mm
# Aspect Ratio: 1.351
# Pointedness Index: 0.2440
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1180
# Max Thickness Position: 0.3351
# Max Camber/Chord: 0.0572
# Max Camber Position: 0.3602
# Leading Edge Radius: 0.0333
# LE Droop: 0.0030
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.66e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00999672,0.06302032
UPPER,2,0.03998688,0.11066401
UPPER,3,0.08330600,0.13758297
UPPER,4,0.29155440,0.16811415
UPPER,5,0.33512000,0.17519235
UPPER,6,0.37868560,0.16339535
UPPER,7,0.38240400,0.13036377
UPPER,8,0.49016000,0.08167063
UPPER,9,0.88000000,0.03118211
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00999672,-0.03907488
LOWER,2,0.03998688,-0.01772254
LOWER,3,0.08330600,-0.04210027
LOWER,4,0.29155440,-0.04187236
LOWER,5,0.33512000,-0.06074755
LOWER,6,0.37868560,-0.03479416
LOWER,7,0.38240400,0.00531562
LOWER,8,0.49016000,0.01896210
LOWER,9,0.88000000,0.00958680
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
