# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Gracula_indica
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 138.90 mm
# Secondary1: 105.30 mm
# Kipps Distance: 33.60 mm
# Hand-Wing Index: 24.20
# Tail Length: 64.70 mm
# Aspect Ratio: 1.319
# Pointedness Index: 0.2419
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1166
# Max Thickness Position: 0.3355
# Max Camber/Chord: 0.0573
# Max Camber Position: 0.3606
# Leading Edge Radius: 0.0334
# LE Droop: 0.0032
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.54e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01002579,0.06331472
UPPER,2,0.04010315,0.11018697
UPPER,3,0.08354822,0.13669176
UPPER,4,0.29186760,0.16692981
UPPER,5,0.33548000,0.17392581
UPPER,6,0.37909240,0.16226582
UPPER,7,0.38286600,0.12961784
UPPER,8,0.49064000,0.08137499
UPPER,9,0.88000000,0.03111183
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01002579,-0.03915515
LOWER,2,0.04010315,-0.01724791
LOWER,3,0.08354822,-0.04125803
LOWER,4,0.29186760,-0.04061802
LOWER,5,0.33548000,-0.05927401
LOWER,6,0.37909240,-0.03362203
LOWER,7,0.38286600,0.00602194
LOWER,8,0.49064000,0.01921807
LOWER,9,0.88000000,0.00966748
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
