# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Turdus_chrysolaus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 119.40 mm
# Secondary1: 82.10 mm
# Kipps Distance: 37.40 mm
# Hand-Wing Index: 31.30
# Tail Length: 86.90 mm
# Aspect Ratio: 1.454
# Pointedness Index: 0.3132
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1118
# Max Thickness Position: 0.3312
# Max Camber/Chord: 0.0560
# Max Camber Position: 0.3550
# Leading Edge Radius: 0.0315
# LE Droop: 0.0017
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.08e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00944473,0.05840840
UPPER,2,0.03777893,0.10521548
UPPER,3,0.07870610,0.13198502
UPPER,4,0.28816140,0.16105442
UPPER,5,0.33122000,0.16776092
UPPER,6,0.37427860,0.15658341
UPPER,7,0.37739900,0.12528637
UPPER,8,0.48496000,0.07888495
UPPER,9,0.88000000,0.03021661
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00944473,-0.03725693
LOWER,2,0.03777893,-0.01617303
LOWER,3,0.07870610,-0.03907613
LOWER,4,0.28816140,-0.03790535
LOWER,5,0.33122000,-0.05578937
LOWER,6,0.37427860,-0.03119884
LOWER,7,0.37739900,0.00680471
LOWER,8,0.48496000,0.01906266
LOWER,9,0.88000000,0.00952544
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
