# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Muscisaxicola_alpinus
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 126.30 mm
# Secondary1: 88.60 mm
# Kipps Distance: 37.70 mm
# Hand-Wing Index: 29.80
# Tail Length: 78.70 mm
# Aspect Ratio: 1.426
# Pointedness Index: 0.2985
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1127
# Max Thickness Position: 0.3321
# Max Camber/Chord: 0.0563
# Max Camber Position: 0.3562
# Leading Edge Radius: 0.0319
# LE Droop: 0.0020
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.24e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00956579,0.05943475
UPPER,2,0.03826317,0.10621553
UPPER,3,0.07971494,0.13290063
UPPER,4,0.28894440,0.16218863
UPPER,5,0.33212000,0.16894812
UPPER,6,0.37529560,0.15768230
UPPER,7,0.37855400,0.12613800
UPPER,8,0.48616000,0.07939072
UPPER,9,0.88000000,0.03040282
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00956579,-0.03765117
LOWER,2,0.03826317,-0.01634917
LOWER,3,0.07971494,-0.03944842
LOWER,4,0.28894440,-0.03834301
LOWER,5,0.33212000,-0.05636832
LOWER,6,0.37529560,-0.03158351
LOWER,7,0.37855400,0.00672028
LOWER,8,0.48616000,0.01912759
LOWER,9,0.88000000,0.00956615
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
