# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Picus_viridis
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 165.40 mm
# Secondary1: 125.00 mm
# Kipps Distance: 41.00 mm
# Hand-Wing Index: 24.70
# Tail Length: 103.00 mm
# Aspect Ratio: 1.323
# Pointedness Index: 0.2479
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1152
# Max Thickness Position: 0.3352
# Max Camber/Chord: 0.0572
# Max Camber Position: 0.3602
# Leading Edge Radius: 0.0333
# LE Droop: 0.0031
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.19e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00997997,0.06293983
UPPER,2,0.03991989,0.10931651
UPPER,3,0.08316643,0.13560848
UPPER,4,0.29160660,0.16553285
UPPER,5,0.33518000,0.17244518
UPPER,6,0.37875340,0.16092464
UPPER,7,0.38248100,0.12866712
UPPER,8,0.49024000,0.08091132
UPPER,9,0.88000000,0.03096755
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00997997,-0.03900189
LOWER,2,0.03991989,-0.01683181
LOWER,3,0.08316643,-0.04048884
LOWER,4,0.29160660,-0.03953276
LOWER,5,0.33518000,-0.05796563
LOWER,6,0.37875340,-0.03262044
LOWER,7,0.38248100,0.00654940
LOWER,8,0.49024000,0.01935990
LOWER,9,0.88000000,0.00970173
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
