# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Hydrobates_microsoma
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 119.00 mm
# Secondary1: 48.00 mm
# Kipps Distance: 72.00 mm
# Hand-Wing Index: 60.00
# Tail Length: 56.40 mm
# Aspect Ratio: 2.479
# Pointedness Index: 0.6050
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.0876
# Max Thickness Position: 0.3140
# Max Camber/Chord: 0.0480
# Max Camber Position: 0.3320
# Leading Edge Radius: 0.0236
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.75e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00707829,0.04246971
UPPER,2,0.02831314,0.08460431
UPPER,3,0.05898571,0.10723821
UPPER,4,0.27318000,0.13035210
UPPER,5,0.31400000,0.13560862
UPPER,6,0.35482000,0.12684776
UPPER,7,0.35530000,0.10231734
UPPER,8,0.46200000,0.06533041
UPPER,9,0.88000000,0.02524869
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00707829,-0.02831314
LOWER,2,0.02831314,-0.01123476
LOWER,3,0.05898571,-0.02873300
LOWER,4,0.27318000,-0.02559124
LOWER,5,0.31400000,-0.03960862
LOWER,6,0.35482000,-0.02033472
LOWER,7,0.35530000,0.00945221
LOWER,8,0.46200000,0.01749479
LOWER,9,0.88000000,0.00849566
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
