# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Agapornis_nigrigenis
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 92.80 mm
# Secondary1: 53.40 mm
# Kipps Distance: 39.40 mm
# Hand-Wing Index: 42.50
# Tail Length: 39.80 mm
# Aspect Ratio: 1.738
# Pointedness Index: 0.4246
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1030
# Max Thickness Position: 0.3245
# Max Camber/Chord: 0.0534
# Max Camber Position: 0.3460
# Leading Edge Radius: 0.0284
# LE Droop: 0.0000
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.99e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00853420,0.05120519
UPPER,2,0.03413679,0.09686336
UPPER,3,0.07111832,0.12326198
UPPER,4,0.28231500,0.15019420
UPPER,5,0.32450000,0.15637515
UPPER,6,0.36668500,0.14607357
UPPER,7,0.36877500,0.11722915
UPPER,8,0.47600000,0.07419989
UPPER,9,0.88000000,0.02851782
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00853420,-0.03413679
LOWER,2,0.03413679,-0.01428927
LOWER,3,0.07111832,-0.03520384
LOWER,4,0.28231500,-0.03317387
LOWER,5,0.32450000,-0.04965640
LOWER,6,0.36668500,-0.02699293
LOWER,7,0.36877500,0.00803243
LOWER,8,0.47600000,0.01866060
LOWER,9,0.88000000,0.00921921
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
