# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Amazona_guatemalae
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 233.60 mm
# Secondary1: 162.70 mm
# Kipps Distance: 70.90 mm
# Hand-Wing Index: 30.40
# Tail Length: 131.20 mm
# Aspect Ratio: 1.436
# Pointedness Index: 0.3035
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1087
# Max Thickness Position: 0.3318
# Max Camber/Chord: 0.0562
# Max Camber Position: 0.3557
# Leading Edge Radius: 0.0317
# LE Droop: 0.0019
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 5.04e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00952186,0.05905115
UPPER,2,0.03808743,0.10399247
UPPER,3,0.07934881,0.12990880
UPPER,4,0.28863120,0.15830683
UPPER,5,0.33176000,0.16482622
UPPER,6,0.37488880,0.15396056
UPPER,7,0.37809200,0.12353671
UPPER,8,0.48568000,0.07816801
UPPER,9,0.88000000,0.03003698
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00952186,-0.03751143
LOWER,2,0.03808743,-0.01511076
LOWER,3,0.07934881,-0.03718283
LOWER,4,0.28863120,-0.03510196
LOWER,5,0.33176000,-0.05248702
LOWER,6,0.37488880,-0.02858257
LOWER,7,0.37809200,0.00836069
LOWER,8,0.48568000,0.01961322
LOWER,9,0.88000000,0.00969614
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
