# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pyrrhura_peruviana
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 119.00 mm
# Secondary1: 72.40 mm
# Kipps Distance: 46.60 mm
# Hand-Wing Index: 39.10
# Tail Length: 97.20 mm
# Aspect Ratio: 1.644
# Pointedness Index: 0.3916
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1056
# Max Thickness Position: 0.3265
# Max Camber/Chord: 0.0542
# Max Camber Position: 0.3487
# Leading Edge Radius: 0.0294
# LE Droop: 0.0002
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.07e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00880640,0.05301838
UPPER,2,0.03522559,0.09904656
UPPER,3,0.07338664,0.12588406
UPPER,4,0.28408980,0.15344379
UPPER,5,0.32654000,0.15977703
UPPER,6,0.36899020,0.14922162
UPPER,7,0.37139300,0.11966649
UPPER,8,0.47872000,0.07564466
UPPER,9,0.88000000,0.02904905
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00880640,-0.03517159
LOWER,2,0.03522559,-0.01479926
LOWER,3,0.07338664,-0.03627878
LOWER,4,0.28408980,-0.03444243
LOWER,5,0.32654000,-0.05133108
LOWER,6,0.36899020,-0.02810919
LOWER,7,0.37139300,0.00777919
LOWER,8,0.47872000,0.01884068
LOWER,9,0.88000000,0.00933358
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
