# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ninox_spilocephala
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 177.50 mm
# Secondary1: 122.50 mm
# Kipps Distance: 55.00 mm
# Hand-Wing Index: 31.00
# Tail Length: 82.10 mm
# Aspect Ratio: 1.449
# Pointedness Index: 0.3099
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1098
# Max Thickness Position: 0.3314
# Max Camber/Chord: 0.0560
# Max Camber Position: 0.3552
# Leading Edge Radius: 0.0316
# LE Droop: 0.0018
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.50e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00947112,0.05862671
UPPER,2,0.03788447,0.10432092
UPPER,3,0.07892599,0.13059168
UPPER,4,0.28831800,0.15922292
UPPER,5,0.33140000,0.16580859
UPPER,6,0.37448200,0.15483248
UPPER,7,0.37763000,0.12409937
UPPER,8,0.48520000,0.07837348
UPPER,9,0.88000000,0.03007894
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00947112,-0.03734447
LOWER,2,0.03788447,-0.01550692
LOWER,3,0.07892599,-0.03787958
LOWER,4,0.28831800,-0.03615181
LOWER,5,0.33140000,-0.05371359
LOWER,6,0.37448200,-0.02956615
LOWER,7,0.37763000,0.00775262
LOWER,8,0.48520000,0.01938290
LOWER,9,0.88000000,0.00962143
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
