# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Trogon_surrucura
# Flight Category: diving
#
# === Morphological Parameters ===
# Wing Length: 137.50 mm
# Secondary1: 83.70 mm
# Kipps Distance: 53.80 mm
# Hand-Wing Index: 39.20
# Tail Length: 139.50 mm
# Aspect Ratio: 1.643
# Pointedness Index: 0.3913
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1047
# Max Thickness Position: 0.3265
# Max Camber/Chord: 0.0542
# Max Camber Position: 0.3486
# Leading Edge Radius: 0.0293
# LE Droop: 0.0002
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.50e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00880499,0.05298993
UPPER,2,0.03521996,0.09855732
UPPER,3,0.07337491,0.12521583
UPPER,4,0.28403760,0.15257632
UPPER,5,0.32648000,0.15885577
UPPER,6,0.36892240,0.14839003
UPPER,7,0.37131600,0.11908597
UPPER,8,0.47864000,0.07537270
UPPER,9,0.88000000,0.02896798
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00880499,-0.03517196
LOWER,2,0.03521996,-0.01452092
LOWER,3,0.07337491,-0.03577001
LOWER,4,0.28403760,-0.03371379
LOWER,5,0.32648000,-0.05045897
LOWER,6,0.36892240,-0.02743434
LOWER,7,0.37131600,0.00814916
LOWER,8,0.47864000,0.01895098
LOWER,9,0.88000000,0.00936331
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
