# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Alcedo_euryzona
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 85.60 mm
# Secondary1: 62.70 mm
# Kipps Distance: 17.10 mm
# Hand-Wing Index: 21.40
# Tail Length: 35.10 mm
# Aspect Ratio: 1.365
# Pointedness Index: 0.1998
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1206
# Max Thickness Position: 0.3372
# Max Camber/Chord: 0.0578
# Max Camber Position: 0.3629
# Leading Edge Radius: 0.0344
# LE Droop: 0.0037
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.69e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01032635,0.06567811
UPPER,2,0.04130541,0.11313515
UPPER,3,0.08605293,0.13999115
UPPER,4,0.29332920,0.17114500
UPPER,5,0.33716000,0.17838074
UPPER,6,0.38099080,0.16632117
UPPER,7,0.38502200,0.13255439
UPPER,8,0.49288000,0.08288411
UPPER,9,0.88000000,0.03160599
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01032635,-0.04018941
LOWER,2,0.04130541,-0.01836582
LOWER,3,0.08605293,-0.04336432
LOWER,4,0.29332920,-0.04351524
LOWER,5,0.33716000,-0.06281054
LOWER,6,0.38099080,-0.03627950
LOWER,7,0.38502200,0.00472302
LOWER,8,0.49288000,0.01894337
LOWER,9,0.88000000,0.00962245
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
