# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Polyplectron_napoleonis
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 178.80 mm
# Secondary1: 142.30 mm
# Kipps Distance: 33.00 mm
# Hand-Wing Index: 18.70
# Tail Length: 165.20 mm
# Aspect Ratio: 1.257
# Pointedness Index: 0.1846
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1196
# Max Thickness Position: 0.3388
# Max Camber/Chord: 0.0582
# Max Camber Position: 0.3650
# Leading Edge Radius: 0.0350
# LE Droop: 0.0043
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.53e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01048650,0.06717903
UPPER,2,0.04194602,0.11350177
UPPER,3,0.08738754,0.13961816
UPPER,4,0.29473860,0.17057645
UPPER,5,0.33878000,0.17775000
UPPER,6,0.38282140,0.16579408
UPPER,7,0.38710100,0.13231750
UPPER,8,0.49504000,0.08293874
UPPER,9,0.88000000,0.03167723
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01048650,-0.04066802
LOWER,2,0.04194602,-0.01789218
LOWER,3,0.08738754,-0.04257659
LOWER,4,0.29473860,-0.04223898
LOWER,5,0.33878000,-0.06136845
LOWER,6,0.38282140,-0.03506542
LOWER,7,0.38710100,0.00558472
LOWER,8,0.49504000,0.01933999
LOWER,9,0.88000000,0.00976532
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
