# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Crinifer_zonurus
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 247.60 mm
# Secondary1: 200.90 mm
# Kipps Distance: 46.60 mm
# Hand-Wing Index: 18.80
# Tail Length: 250.40 mm
# Aspect Ratio: 1.232
# Pointedness Index: 0.1882
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1176
# Max Thickness Position: 0.3387
# Max Camber/Chord: 0.0582
# Max Camber Position: 0.3650
# Leading Edge Radius: 0.0349
# LE Droop: 0.0042
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 5.45e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01046487,0.06702919
UPPER,2,0.04185946,0.11248918
UPPER,3,0.08720721,0.13819320
UPPER,4,0.29468640,0.16871898
UPPER,5,0.33872000,0.17577489
UPPER,6,0.38275360,0.16401504
UPPER,7,0.38702400,0.13108746
UPPER,8,0.49496000,0.08237752
UPPER,9,0.88000000,0.03151491
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01046487,-0.04058746
LOWER,2,0.04185946,-0.01726978
LOWER,3,0.08720721,-0.04144598
LOWER,4,0.29468640,-0.04060633
LOWER,5,0.33872000,-0.05942209
LOWER,6,0.38275360,-0.03355042
LOWER,7,0.38702400,0.00643307
LOWER,8,0.49496000,0.01960558
LOWER,9,0.88000000,0.00984016
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
