# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Certhilauda_subcoronata
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 103.80 mm
# Secondary1: 81.00 mm
# Kipps Distance: 22.50 mm
# Hand-Wing Index: 21.70
# Tail Length: 78.10 mm
# Aspect Ratio: 1.281
# Pointedness Index: 0.2168
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1202
# Max Thickness Position: 0.3370
# Max Camber/Chord: 0.0577
# Max Camber Position: 0.3626
# Leading Edge Radius: 0.0341
# LE Droop: 0.0037
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.74e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01023049,0.06504293
UPPER,2,0.04092195,0.11285780
UPPER,3,0.08525407,0.13969255
UPPER,4,0.29317260,0.17076468
UPPER,5,0.33698000,0.17797916
UPPER,6,0.38078740,0.16595502
UPPER,7,0.38479100,0.13228744
UPPER,8,0.49264000,0.08274470
UPPER,9,0.88000000,0.03155967
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01023049,-0.03982395
LOWER,2,0.04092195,-0.01826902
LOWER,3,0.08525407,-0.04318063
LOWER,4,0.29317260,-0.04326499
LOWER,5,0.33698000,-0.06250361
LOWER,6,0.38078740,-0.03605051
LOWER,7,0.38479100,0.00483156
LOWER,8,0.49264000,0.01896363
LOWER,9,0.88000000,0.00962479
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
