# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Conioptilon_mcilhennyi
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 145.80 mm
# Secondary1: 118.90 mm
# Kipps Distance: 26.90 mm
# Hand-Wing Index: 18.40
# Tail Length: 88.40 mm
# Aspect Ratio: 1.226
# Pointedness Index: 0.1845
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1210
# Max Thickness Position: 0.3390
# Max Camber/Chord: 0.0582
# Max Camber Position: 0.3653
# Leading Edge Radius: 0.0350
# LE Droop: 0.0043
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.70e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01049601,0.06729608
UPPER,2,0.04198405,0.11430084
UPPER,3,0.08746678,0.14066940
UPPER,4,0.29489520,0.17194029
UPPER,5,0.33896000,0.17919816
UPPER,6,0.38302480,0.16710171
UPPER,7,0.38733200,0.13323163
UPPER,8,0.49528000,0.08336864
UPPER,9,0.88000000,0.03180593
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01049601,-0.04068805
LOWER,2,0.04198405,-0.01832690
LOWER,3,0.08746678,-0.04337199
LOWER,4,0.29489520,-0.04337663
LOWER,5,0.33896000,-0.06273096
LOWER,6,0.38302480,-0.03611876
LOWER,7,0.38733200,0.00500919
LOWER,8,0.49528000,0.01916979
LOWER,9,0.88000000,0.00971982
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
