# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pipreola_lubomirskii
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 92.50 mm
# Secondary1: 72.80 mm
# Kipps Distance: 19.60 mm
# Hand-Wing Index: 21.20
# Tail Length: 63.50 mm
# Aspect Ratio: 1.271
# Pointedness Index: 0.2119
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1213
# Max Thickness Position: 0.3373
# Max Camber/Chord: 0.0578
# Max Camber Position: 0.3630
# Leading Edge Radius: 0.0342
# LE Droop: 0.0038
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.50e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01027063,0.06538379
UPPER,2,0.04108253,0.11354630
UPPER,3,0.08558859,0.14051608
UPPER,4,0.29343360,0.17182403
UPPER,5,0.33728000,0.17910112
UPPER,6,0.38112640,0.16697264
UPPER,7,0.38517600,0.13301292
UPPER,8,0.49304000,0.08310366
UPPER,9,0.88000000,0.03167301
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01027063,-0.03995453
LOWER,2,0.04108253,-0.01857537
LOWER,3,0.08558859,-0.04374959
LOWER,4,0.29343360,-0.04406276
LOWER,5,0.33728000,-0.06346832
LOWER,6,0.38112640,-0.03678568
LOWER,7,0.38517600,0.00445112
LOWER,8,0.49304000,0.01886631
LOWER,9,0.88000000,0.00960271
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
