# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Emberiza_flaviventris
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 80.70 mm
# Secondary1: 62.90 mm
# Kipps Distance: 17.80 mm
# Hand-Wing Index: 22.00
# Tail Length: 70.60 mm
# Aspect Ratio: 1.283
# Pointedness Index: 0.2206
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1214
# Max Thickness Position: 0.3368
# Max Camber/Chord: 0.0577
# Max Camber Position: 0.3624
# Leading Edge Radius: 0.0340
# LE Droop: 0.0036
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.26e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01020189,0.06481136
UPPER,2,0.04080757,0.11333743
UPPER,3,0.08501577,0.14048414
UPPER,4,0.29301600,0.17180775
UPPER,5,0.33680000,0.17909186
UPPER,6,0.38058400,0.16695167
UPPER,7,0.38456000,0.13295915
UPPER,8,0.49240000,0.08302902
UPPER,9,0.88000000,0.03163435
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01020189,-0.03972757
LOWER,2,0.04080757,-0.01865709
LOWER,3,0.08501577,-0.04387568
LOWER,4,0.29301600,-0.04428756
LOWER,5,0.33680000,-0.06371186
LOWER,6,0.38058400,-0.03700345
LOWER,7,0.38456000,0.00427318
LOWER,8,0.49240000,0.01877154
LOWER,9,0.88000000,0.00956643
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
