# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Anabacerthia_variegaticeps
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 85.20 mm
# Secondary1: 69.20 mm
# Kipps Distance: 15.60 mm
# Hand-Wing Index: 18.40
# Tail Length: 70.60 mm
# Aspect Ratio: 1.231
# Pointedness Index: 0.1831
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1240
# Max Thickness Position: 0.3390
# Max Camber/Chord: 0.0582
# Max Camber Position: 0.3653
# Leading Edge Radius: 0.0350
# LE Droop: 0.0043
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.35e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01050316,0.06733894
UPPER,2,0.04201263,0.11580926
UPPER,3,0.08752631,0.14284152
UPPER,4,0.29489520,0.17477612
UPPER,5,0.33896000,0.18221500
UPPER,6,0.38302480,0.16981686
UPPER,7,0.38733200,0.13510207
UPPER,8,0.49528000,0.08421335
UPPER,9,0.88000000,0.03204728
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01050316,-0.04071663
LOWER,2,0.04201263,-0.01929229
LOWER,3,0.08752631,-0.04512176
LOWER,4,0.29489520,-0.04591078
LOWER,5,0.33896000,-0.06574780
LOWER,6,0.38302480,-0.03847190
LOWER,7,0.38733200,0.00368178
LOWER,8,0.49528000,0.01874744
LOWER,9,0.88000000,0.00959914
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
