# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Icterus_portoricensis
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 94.20 mm
# Secondary1: 75.30 mm
# Kipps Distance: 18.90 mm
# Hand-Wing Index: 20.10
# Tail Length: 82.80 mm
# Aspect Ratio: 1.251
# Pointedness Index: 0.2006
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1221
# Max Thickness Position: 0.3379
# Max Camber/Chord: 0.0580
# Max Camber Position: 0.3639
# Leading Edge Radius: 0.0345
# LE Droop: 0.0040
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.53e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01036169,0.06615015
UPPER,2,0.04144677,0.11429888
UPPER,3,0.08634743,0.14123175
UPPER,4,0.29400780,0.17272448
UPPER,5,0.33794000,0.18004828
UPPER,6,0.38187220,0.16784195
UPPER,7,0.38602300,0.13366422
UPPER,8,0.49392000,0.08346495
UPPER,9,0.88000000,0.03179935
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01036169,-0.04025277
LOWER,2,0.04144677,-0.01876552
LOWER,3,0.08634743,-0.04412363
LOWER,4,0.29400780,-0.04454820
LOWER,5,0.33794000,-0.06407833
LOWER,6,0.38187220,-0.03722440
LOWER,7,0.38602300,0.00427712
LOWER,8,0.49392000,0.01886182
LOWER,9,0.88000000,0.00961371
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
