# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pardaliparus_amabilis
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 65.10 mm
# Secondary1: 53.60 mm
# Kipps Distance: 11.60 mm
# Hand-Wing Index: 17.70
# Tail Length: 44.20 mm
# Aspect Ratio: 1.215
# Pointedness Index: 0.1782
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1258
# Max Thickness Position: 0.3394
# Max Camber/Chord: 0.0583
# Max Camber Position: 0.3658
# Leading Edge Radius: 0.0352
# LE Droop: 0.0045
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.01e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01054962,0.06775775
UPPER,2,0.04219850,0.11695112
UPPER,3,0.08791354,0.14425436
UPPER,4,0.29526060,0.17660091
UPPER,5,0.33938000,0.18415000
UPPER,6,0.38349940,0.17156818
UPPER,7,0.38787100,0.13633908
UPPER,8,0.49584000,0.08481111
UPPER,9,0.88000000,0.03223153
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01054962,-0.04086050
LOWER,2,0.04219850,-0.01984571
LOWER,3,0.08791354,-0.04614195
LOWER,4,0.29526060,-0.04735554
LOWER,5,0.33938000,-0.06748645
LOWER,6,0.38349940,-0.03980644
LOWER,7,0.38787100,0.00297176
LOWER,8,0.49584000,0.01855115
LOWER,9,0.88000000,0.00955021
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
