# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Poecile_atricapillus
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 64.40 mm
# Secondary1: 52.50 mm
# Kipps Distance: 12.00 mm
# Hand-Wing Index: 18.60
# Tail Length: 61.70 mm
# Aspect Ratio: 1.227
# Pointedness Index: 0.1863
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1251
# Max Thickness Position: 0.3388
# Max Camber/Chord: 0.0582
# Max Camber Position: 0.3651
# Leading Edge Radius: 0.0349
# LE Droop: 0.0043
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01048053,0.06716318
UPPER,2,0.04192212,0.11631434
UPPER,3,0.08733775,0.14363509
UPPER,4,0.29479080,0.17581790
UPPER,5,0.33884000,0.18332510
UPPER,6,0.38288920,0.17081310
UPPER,7,0.38717800,0.13577950
UPPER,8,0.49512000,0.08450794
UPPER,9,0.88000000,0.03212754
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01048053,-0.04063812
LOWER,2,0.04192212,-0.01966662
LOWER,3,0.08733775,-0.04579525
LOWER,4,0.29479080,-0.04689570
LOWER,5,0.33884000,-0.06691490
LOWER,6,0.38288920,-0.03938850
LOWER,7,0.38717800,0.00315230
LOWER,8,0.49512000,0.01857036
LOWER,9,0.88000000,0.00954647
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
