# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pitta_reichenowi
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 117.80 mm
# Secondary1: 93.20 mm
# Kipps Distance: 23.30 mm
# Hand-Wing Index: 20.00
# Tail Length: 43.40 mm
# Aspect Ratio: 1.264
# Pointedness Index: 0.1978
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1206
# Max Thickness Position: 0.3380
# Max Camber/Chord: 0.0580
# Max Camber Position: 0.3640
# Leading Edge Radius: 0.0346
# LE Droop: 0.0040
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.21e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01037926,0.06627554
UPPER,2,0.04151703,0.11357982
UPPER,3,0.08649380,0.14016294
UPPER,4,0.29406000,0.17132606
UPPER,5,0.33800000,0.17855963
UPPER,6,0.38194000,0.16650367
UPPER,7,0.38610000,0.13274697
UPPER,8,0.49400000,0.08305670
UPPER,9,0.88000000,0.03168477
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01037926,-0.04031703
LOWER,2,0.04151703,-0.01827908
LOWER,3,0.08649380,-0.04324459
LOWER,4,0.29406000,-0.04327009
LOWER,5,0.33800000,-0.06255963
LOWER,6,0.38194000,-0.03603651
LOWER,7,0.38610000,0.00495376
LOWER,8,0.49400000,0.01908165
LOWER,9,0.88000000,0.00967761
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
