# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ploceus_cucullatus
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 82.60 mm
# Secondary1: 66.60 mm
# Kipps Distance: 16.00 mm
# Hand-Wing Index: 19.40
# Tail Length: 48.60 mm
# Aspect Ratio: 1.240
# Pointedness Index: 0.1937
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1233
# Max Thickness Position: 0.3384
# Max Camber/Chord: 0.0581
# Max Camber Position: 0.3645
# Leading Edge Radius: 0.0347
# LE Droop: 0.0041
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.31e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01041847,0.06663080
UPPER,2,0.04167387,0.11514996
UPPER,3,0.08682055,0.14222406
UPPER,4,0.29437320,0.17399905
UPPER,5,0.33836000,0.18139756
UPPER,6,0.38234680,0.16906671
UPPER,7,0.38656200,0.13454034
UPPER,8,0.49448000,0.08390210
UPPER,9,0.88000000,0.03193853
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01041847,-0.04043787
LOWER,2,0.04167387,-0.01912752
LOWER,3,0.08682055,-0.04479792
LOWER,4,0.29437320,-0.04549000
LOWER,5,0.33836000,-0.06521936
LOWER,6,0.38234680,-0.03809150
LOWER,7,0.38656200,0.00383338
LOWER,8,0.49448000,0.01875206
LOWER,9,0.88000000,0.00958994
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
