# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Goodfellowia_miranda
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 118.60 mm
# Secondary1: 91.20 mm
# Kipps Distance: 26.50 mm
# Hand-Wing Index: 22.50
# Tail Length: 145.90 mm
# Aspect Ratio: 1.300
# Pointedness Index: 0.2234
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1189
# Max Thickness Position: 0.3365
# Max Camber/Chord: 0.0576
# Max Camber Position: 0.3620
# Leading Edge Radius: 0.0339
# LE Droop: 0.0035
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.06e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01017196,0.06453173
UPPER,2,0.04068782,0.11189448
UPPER,3,0.08476629,0.13857480
UPPER,4,0.29275500,0.16933121
UPPER,5,0.33650000,0.17646239
UPPER,6,0.38024500,0.16457709
UPPER,7,0.38417500,0.13129825
UPPER,8,0.49200000,0.08224681
UPPER,9,0.88000000,0.03139980
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01017196,-0.03963782
LOWER,2,0.04068782,-0.01786968
LOWER,3,0.08476629,-0.04243444
LOWER,4,0.29275500,-0.04222716
LOWER,5,0.33650000,-0.06124364
LOWER,6,0.38024500,-0.03509598
LOWER,7,0.38417500,0.00531405
LOWER,8,0.49200000,0.01907839
LOWER,9,0.88000000,0.00964822
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
