# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Rhabdornis_grandis
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 88.00 mm
# Secondary1: 61.50 mm
# Kipps Distance: 18.70 mm
# Hand-Wing Index: 23.10
# Tail Length: 53.00 mm
# Aspect Ratio: 1.431
# Pointedness Index: 0.2125
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1199
# Max Thickness Position: 0.3361
# Max Camber/Chord: 0.0575
# Max Camber Position: 0.3615
# Leading Edge Radius: 0.0340
# LE Droop: 0.0034
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.46e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01020939,0.06463634
UPPER,2,0.04083756,0.11220184
UPPER,3,0.08507825,0.13922012
UPPER,4,0.29244180,0.17019350
UPPER,5,0.33614000,0.17738600
UPPER,6,0.37983820,0.16539850
UPPER,7,0.38371300,0.13183349
UPPER,8,0.49152000,0.08244934
UPPER,9,0.88000000,0.03144417
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01020939,-0.03982356
LOWER,2,0.04083756,-0.01823117
LOWER,3,0.08507825,-0.04307247
LOWER,4,0.29244180,-0.04318405
LOWER,5,0.33614000,-0.06236405
LOWER,6,0.37983820,-0.03599155
LOWER,7,0.38371300,0.00476596
LOWER,8,0.49152000,0.01887430
LOWER,9,0.88000000,0.00958274
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
