# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Geospiza_conirostris
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 78.00 mm
# Secondary1: 64.00 mm
# Kipps Distance: 13.50 mm
# Hand-Wing Index: 17.40
# Tail Length: 47.50 mm
# Aspect Ratio: 1.219
# Pointedness Index: 0.1731
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1252
# Max Thickness Position: 0.3396
# Max Camber/Chord: 0.0584
# Max Camber Position: 0.3661
# Leading Edge Radius: 0.0353
# LE Droop: 0.0045
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.22e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01058487,0.06802921
UPPER,2,0.04233947,0.11674387
UPPER,3,0.08820723,0.14385695
UPPER,4,0.29541720,0.17607376
UPPER,5,0.33956000,0.18358657
UPPER,6,0.38370280,0.17106523
UPPER,7,0.38810200,0.13600545
UPPER,8,0.49608000,0.08467691
UPPER,9,0.88000000,0.03219886
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01058487,-0.04098347
LOWER,2,0.04233947,-0.01963773
LOWER,3,0.08820723,-0.04577219
LOWER,4,0.29541720,-0.04680622
LOWER,5,0.33956000,-0.06684037
LOWER,6,0.38370280,-0.03929341
LOWER,7,0.38810200,0.00327917
LOWER,8,0.49608000,0.01866144
LOWER,9,0.88000000,0.00958474
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
