# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Cochoa_azurea
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 116.00 mm
# Secondary1: 91.40 mm
# Kipps Distance: 24.60 mm
# Hand-Wing Index: 21.20
# Tail Length: 93.00 mm
# Aspect Ratio: 1.269
# Pointedness Index: 0.2121
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1200
# Max Thickness Position: 0.3373
# Max Camber/Chord: 0.0578
# Max Camber Position: 0.3630
# Leading Edge Radius: 0.0342
# LE Droop: 0.0038
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.01e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01026973,0.06537837
UPPER,2,0.04107891,0.11291284
UPPER,3,0.08558107,0.13960390
UPPER,4,0.29343360,0.17063313
UPPER,5,0.33728000,0.17783420
UPPER,6,0.38112640,0.16583242
UPPER,7,0.38517600,0.13222743
UPPER,8,0.49304000,0.08274892
UPPER,9,0.88000000,0.03157166
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01026973,-0.03995091
LOWER,2,0.04107891,-0.01816995
LOWER,3,0.08558107,-0.04301478
LOWER,4,0.29343360,-0.04299855
LOWER,5,0.33728000,-0.06220140
LOWER,6,0.38112640,-0.03579748
LOWER,7,0.38517600,0.00500857
LOWER,8,0.49304000,0.01904368
LOWER,9,0.88000000,0.00965339
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
