# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Galbula_ruficauda
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 78.30 mm
# Secondary1: 62.20 mm
# Kipps Distance: 16.60 mm
# Hand-Wing Index: 21.10
# Tail Length: 100.90 mm
# Aspect Ratio: 1.259
# Pointedness Index: 0.2120
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1223
# Max Thickness Position: 0.3373
# Max Camber/Chord: 0.0578
# Max Camber Position: 0.3631
# Leading Edge Radius: 0.0342
# LE Droop: 0.0038
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.21e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01027311,0.06541868
UPPER,2,0.04109246,0.11408152
UPPER,3,0.08560928,0.14125327
UPPER,4,0.29348580,0.17278334
UPPER,5,0.33734000,0.18012066
UPPER,6,0.38119420,0.16789179
UPPER,7,0.38525300,0.13365096
UPPER,8,0.49312000,0.08339801
UPPER,9,0.88000000,0.03175925
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01027311,-0.03995846
LOWER,2,0.04109246,-0.01889119
LOWER,3,0.08560928,-0.04432473
LOWER,4,0.29348580,-0.04489052
LOWER,5,0.33734000,-0.06445671
LOWER,6,0.38119420,-0.03755320
LOWER,7,0.38525300,0.00402495
LOWER,8,0.49312000,0.01873541
LOWER,9,0.88000000,0.00956645
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
