# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Lybius_chaplini
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 95.00 mm
# Secondary1: 75.80 mm
# Kipps Distance: 19.20 mm
# Hand-Wing Index: 20.20
# Tail Length: 55.00 mm
# Aspect Ratio: 1.253
# Pointedness Index: 0.2021
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1219
# Max Thickness Position: 0.3379
# Max Camber/Chord: 0.0580
# Max Camber Position: 0.3638
# Leading Edge Radius: 0.0345
# LE Droop: 0.0040
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.55e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01035114,0.06606686
UPPER,2,0.04140457,0.11420250
UPPER,3,0.08625953,0.14112636
UPPER,4,0.29395560,0.17258991
UPPER,5,0.33788000,0.17990608
UPPER,6,0.38180440,0.16771246
UPPER,7,0.38594600,0.13357033
UPPER,8,0.49384000,0.08341654
UPPER,9,0.88000000,0.03178346
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01035114,-0.04021657
LOWER,2,0.04140457,-0.01873011
LOWER,3,0.08625953,-0.04405683
LOWER,4,0.29395560,-0.04445649
LOWER,5,0.33788000,-0.06396628
LOWER,6,0.38180440,-0.03714032
LOWER,7,0.38594600,0.00431798
LOWER,8,0.49384000,0.01887027
LOWER,9,0.88000000,0.00961503
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
