# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Campethera_scriptoricauda
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 112.20 mm
# Secondary1: 90.20 mm
# Kipps Distance: 22.00 mm
# Hand-Wing Index: 19.60
# Tail Length: 70.00 mm
# Aspect Ratio: 1.244
# Pointedness Index: 0.1961
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1215
# Max Thickness Position: 0.3382
# Max Camber/Chord: 0.0581
# Max Camber Position: 0.3643
# Leading Edge Radius: 0.0347
# LE Droop: 0.0041
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.92e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01040024,0.06648144
UPPER,2,0.04160096,0.11417318
UPPER,3,0.08666867,0.14088407
UPPER,4,0.29426880,0.17225554
UPPER,5,0.33824000,0.17954465
UPPER,6,0.38221120,0.16739614
UPPER,7,0.38640800,0.13338033
UPPER,8,0.49432000,0.08336647
UPPER,9,0.88000000,0.03178145
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01040024,-0.04037696
LOWER,2,0.04160096,-0.01855436
LOWER,3,0.08666867,-0.04375391
LOWER,4,0.29426880,-0.04398784
LOWER,5,0.33824000,-0.06342545
LOWER,6,0.38221120,-0.03669874
LOWER,7,0.38640800,0.00460618
LOWER,8,0.49432000,0.01898905
LOWER,9,0.88000000,0.00965550
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
