# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Dendropicos_fuscescens
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 92.00 mm
# Secondary1: 71.50 mm
# Kipps Distance: 20.70 mm
# Hand-Wing Index: 22.50
# Tail Length: 48.40 mm
# Aspect Ratio: 1.287
# Pointedness Index: 0.2250
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1201
# Max Thickness Position: 0.3365
# Max Camber/Chord: 0.0576
# Max Camber Position: 0.3620
# Leading Edge Radius: 0.0339
# LE Droop: 0.0035
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.53e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01016400,0.06448400
UPPER,2,0.04065600,0.11253867
UPPER,3,0.08470000,0.13950243
UPPER,4,0.29275500,0.17054229
UPPER,5,0.33650000,0.17775078
UPPER,6,0.38024500,0.16573664
UPPER,7,0.38417500,0.13209704
UPPER,8,0.49200000,0.08260756
UPPER,9,0.88000000,0.03150287
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01016400,-0.03960600
LOWER,2,0.04065600,-0.01828197
LOWER,3,0.08470000,-0.04318170
LOWER,4,0.29275500,-0.04330940
LOWER,5,0.33650000,-0.06253203
LOWER,6,0.38024500,-0.03610092
LOWER,7,0.38417500,0.00474716
LOWER,8,0.49200000,0.01889802
LOWER,9,0.88000000,0.00959669
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
