# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pteroglossus_azara
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 123.50 mm
# Secondary1: 102.90 mm
# Kipps Distance: 22.20 mm
# Hand-Wing Index: 17.70
# Tail Length: 131.00 mm
# Aspect Ratio: 1.200
# Pointedness Index: 0.1798
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1225
# Max Thickness Position: 0.3394
# Max Camber/Chord: 0.0583
# Max Camber Position: 0.3658
# Leading Edge Radius: 0.0351
# LE Droop: 0.0045
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.18e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01054162,0.06770971
UPPER,2,0.04216648,0.11527440
UPPER,3,0.08784682,0.14183988
UPPER,4,0.29526060,0.17344868
UPPER,5,0.33938000,0.18079657
UPPER,6,0.38349940,0.16855009
UPPER,7,0.38787100,0.13425995
UPPER,8,0.49584000,0.08387215
UPPER,9,0.88000000,0.03196326
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01054162,-0.04082848
LOWER,2,0.04216648,-0.01877261
LOWER,3,0.08784682,-0.04419696
LOWER,4,0.29526060,-0.04453865
LOWER,5,0.33938000,-0.06413302
LOWER,6,0.38349940,-0.03719076
LOWER,7,0.38787100,0.00444727
LOWER,8,0.49584000,0.01902063
LOWER,9,0.88000000,0.00968435
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
