# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Mandingoa_nitidula
# Flight Category: hovering
#
# === Morphological Parameters ===
# Wing Length: 50.50 mm
# Secondary1: 39.90 mm
# Kipps Distance: 9.70 mm
# Hand-Wing Index: 19.60
# Tail Length: 33.60 mm
# Aspect Ratio: 1.266
# Pointedness Index: 0.1921
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1243
# Max Thickness Position: 0.3382
# Max Camber/Chord: 0.0581
# Max Camber Position: 0.3643
# Leading Edge Radius: 0.0347
# LE Droop: 0.0041
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01042064,0.06660382
UPPER,2,0.04168254,0.11559066
UPPER,3,0.08683863,0.14292523
UPPER,4,0.29426880,0.17492040
UPPER,5,0.33824000,0.18237960
UPPER,6,0.38221120,0.16994760
UPPER,7,0.38640800,0.13513800
UPPER,8,0.49432000,0.08416026
UPPER,9,0.88000000,0.03200825
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01042064,-0.04045854
LOWER,2,0.04168254,-0.01946154
LOWER,3,0.08683863,-0.04539818
LOWER,4,0.29426880,-0.04636920
LOWER,5,0.33824000,-0.06626040
LOWER,6,0.38221120,-0.03891000
LOWER,7,0.38640800,0.00335880
LOWER,8,0.49432000,0.01859215
LOWER,9,0.88000000,0.00954210
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
