# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Smithornis_sharpei
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 79.80 mm
# Secondary1: 67.70 mm
# Kipps Distance: 12.20 mm
# Hand-Wing Index: 15.30
# Tail Length: 51.00 mm
# Aspect Ratio: 1.179
# Pointedness Index: 0.1529
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1268
# Max Thickness Position: 0.3408
# Max Camber/Chord: 0.0586
# Max Camber Position: 0.3678
# Leading Edge Radius: 0.0358
# LE Droop: 0.0049
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.24e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01075212,0.06945272
UPPER,2,0.04300848,0.11820424
UPPER,3,0.08960101,0.14527097
UPPER,4,0.29651340,0.17786420
UPPER,5,0.34082000,0.18547363
UPPER,6,0.38512660,0.17279125
UPPER,7,0.38971900,0.13728057
UPPER,8,0.49776000,0.08536299
UPPER,9,0.88000000,0.03243282
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01075212,-0.04152648
LOWER,2,0.04300848,-0.02005621
LOWER,3,0.08960101,-0.04657894
LOWER,4,0.29651340,-0.04788227
LOWER,5,0.34082000,-0.06817408
LOWER,6,0.38512660,-0.04027283
LOWER,7,0.38971900,0.00284728
LOWER,8,0.49776000,0.01860752
LOWER,9,0.88000000,0.00958949
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
