# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Ptilorrhoa_leucosticta
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 79.70 mm
# Secondary1: 74.90 mm
# Kipps Distance: 4.80 mm
# Hand-Wing Index: 6.00
# Tail Length: 89.80 mm
# Aspect Ratio: 1.064
# Pointedness Index: 0.0602
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1343
# Max Thickness Position: 0.3464
# Max Camber/Chord: 0.0596
# Max Camber Position: 0.3752
# Leading Edge Radius: 0.0384
# LE Droop: 0.0068
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.24e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01150925,0.07585549
UPPER,2,0.04603699,0.12460389
UPPER,3,0.09591040,0.15151617
UPPER,4,0.30136800,0.18582454
UPPER,5,0.34640000,0.19388079
UPPER,6,0.39143200,0.18045371
UPPER,7,0.39688000,0.14285789
UPPER,8,0.50520000,0.08826432
UPPER,9,0.88000000,0.03339346
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01150925,-0.04399699
LOWER,2,0.04603699,-0.02210315
LOWER,3,0.09591040,-0.05045646
LOWER,4,0.30136800,-0.05317746
LOWER,5,0.34640000,-0.07466079
LOWER,6,0.39143200,-0.04512121
LOWER,7,0.39688000,0.00053085
LOWER,8,0.50520000,0.01816029
LOWER,9,0.88000000,0.00953167
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
