# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Automolus_rufipileatus
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 86.90 mm
# Secondary1: 75.50 mm
# Kipps Distance: 11.70 mm
# Hand-Wing Index: 13.40
# Tail Length: 79.60 mm
# Aspect Ratio: 1.151
# Pointedness Index: 0.1346
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1279
# Max Thickness Position: 0.3420
# Max Camber/Chord: 0.0589
# Max Camber Position: 0.3693
# Leading Edge Radius: 0.0363
# LE Droop: 0.0053
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.38e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01090331,0.07073985
UPPER,2,0.04361323,0.11930484
UPPER,3,0.09086091,0.14623832
UPPER,4,0.29750520,0.17908061
UPPER,5,0.34196000,0.18675292
UPPER,6,0.38641480,0.17396573
UPPER,7,0.39118200,0.13816163
UPPER,8,0.49928000,0.08585304
UPPER,9,0.88000000,0.03260456
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01090331,-0.04201723
LOWER,2,0.04361323,-0.02031060
LOWER,3,0.09086091,-0.04708035
LOWER,4,0.29750520,-0.04853122
LOWER,5,0.34196000,-0.06899072
LOWER,6,0.38641480,-0.04085892
LOWER,7,0.39118200,0.00261750
LOWER,8,0.49928000,0.01860423
LOWER,9,0.88000000,0.00960540
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
