# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Syndactyla_rufosuperciliata
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 76.10 mm
# Secondary1: 64.60 mm
# Kipps Distance: 11.40 mm
# Hand-Wing Index: 15.00
# Tail Length: 78.20 mm
# Aspect Ratio: 1.178
# Pointedness Index: 0.1498
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1273
# Max Thickness Position: 0.3410
# Max Camber/Chord: 0.0587
# Max Camber Position: 0.3680
# Leading Edge Radius: 0.0359
# LE Droop: 0.0050
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.17e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01077701,0.06966203
UPPER,2,0.04310802,0.11854734
UPPER,3,0.08980838,0.14566717
UPPER,4,0.29667000,0.17837388
UPPER,5,0.34100000,0.18601344
UPPER,6,0.38533000,0.17328084
UPPER,7,0.38995000,0.13762958
UPPER,8,0.49800000,0.08553564
UPPER,9,0.88000000,0.03248732
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01077701,-0.04160802
LOWER,2,0.04310802,-0.02020367
LOWER,3,0.08980838,-0.04685279
LOWER,4,0.29667000,-0.04826629
LOWER,5,0.34100000,-0.06863844
LOWER,6,0.38533000,-0.04062673
LOWER,7,0.38995000,0.00266409
LOWER,8,0.49800000,0.01856062
LOWER,9,0.88000000,0.00957884
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
