# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Grallaria_fenwickorum
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 92.60 mm
# Secondary1: 85.30 mm
# Kipps Distance: 7.30 mm
# Hand-Wing Index: 7.90
# Tail Length: 59.40 mm
# Aspect Ratio: 1.086
# Pointedness Index: 0.0788
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1319
# Max Thickness Position: 0.3453
# Max Camber/Chord: 0.0594
# Max Camber Position: 0.3737
# Leading Edge Radius: 0.0379
# LE Droop: 0.0064
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.50e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01135621,0.07455725
UPPER,2,0.04542483,0.12291098
UPPER,3,0.09463507,0.14967452
UPPER,4,0.30037620,0.18345255
UPPER,5,0.34526000,0.19136768
UPPER,6,0.39014380,0.17817581
UPPER,7,0.39541700,0.14123857
UPPER,8,0.50368000,0.08746887
UPPER,9,0.88000000,0.03314411
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01135621,-0.04349883
LOWER,2,0.04542483,-0.02140684
LOWER,3,0.09463507,-0.04916632
LOWER,4,0.30037620,-0.05136273
LOWER,5,0.34526000,-0.07246973
LOWER,6,0.39014380,-0.04344761
LOWER,7,0.39541700,0.00140475
LOWER,8,0.50368000,0.01838975
LOWER,9,0.88000000,0.00958550
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
