# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Grallaria_hypoleuca
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 89.50 mm
# Secondary1: 84.40 mm
# Kipps Distance: 4.70 mm
# Hand-Wing Index: 5.20
# Tail Length: 52.20 mm
# Aspect Ratio: 1.060
# Pointedness Index: 0.0525
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1343
# Max Thickness Position: 0.3469
# Max Camber/Chord: 0.0597
# Max Camber Position: 0.3758
# Leading Edge Radius: 0.0386
# LE Droop: 0.0070
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.44e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01157306,0.07639835
UPPER,2,0.04629224,0.12481559
UPPER,3,0.09644216,0.15157163
UPPER,4,0.30178560,0.18588441
UPPER,5,0.34688000,0.19394049
UPPER,6,0.39197440,0.18051368
UPPER,7,0.39749600,0.14291862
UPPER,8,0.50584000,0.08831661
UPPER,9,0.88000000,0.03341696
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01157306,-0.04420424
LOWER,2,0.04629224,-0.02208045
LOWER,3,0.09644216,-0.05042619
LOWER,4,0.30178560,-0.05311280
LOWER,5,0.34688000,-0.07459569
LOWER,6,0.39197440,-0.04505671
LOWER,7,0.39749600,0.00059444
LOWER,8,0.50584000,0.01819936
LOWER,9,0.88000000,0.00954738
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
