# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Acanthoptila_nipalensis
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 82.20 mm
# Secondary1: 77.80 mm
# Kipps Distance: 4.70 mm
# Hand-Wing Index: 5.70
# Tail Length: 112.60 mm
# Aspect Ratio: 1.057
# Pointedness Index: 0.0572
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1343
# Max Thickness Position: 0.3466
# Max Camber/Chord: 0.0596
# Max Camber Position: 0.3754
# Leading Edge Radius: 0.0384
# LE Droop: 0.0069
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.29e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01153397,0.07606384
UPPER,2,0.04613590,0.12471870
UPPER,3,0.09611645,0.15158785
UPPER,4,0.30152460,0.18591335
UPPER,5,0.34658000,0.19397375
UPPER,6,0.39163540,0.18053975
UPPER,7,0.39711100,0.14292456
UPPER,8,0.50544000,0.08830390
UPPER,9,0.88000000,0.03340803
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01153397,-0.04407790
LOWER,2,0.04613590,-0.02211697
LOWER,3,0.09611645,-0.05048565
LOWER,4,0.30152460,-0.05321180
LOWER,5,0.34658000,-0.07470620
LOWER,6,0.39163540,-0.04515140
LOWER,7,0.39711100,0.00052419
LOWER,8,0.50544000,0.01816534
LOWER,9,0.88000000,0.00953484
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
