# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Chatarrhaea_longirostris
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 74.20 mm
# Secondary1: 68.80 mm
# Kipps Distance: 5.00 mm
# Hand-Wing Index: 6.80
# Tail Length: 110.80 mm
# Aspect Ratio: 1.078
# Pointedness Index: 0.0674
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1340
# Max Thickness Position: 0.3459
# Max Camber/Chord: 0.0595
# Max Camber Position: 0.3746
# Leading Edge Radius: 0.0382
# LE Droop: 0.0066
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.13e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01144825,0.07532953
UPPER,2,0.04579302,0.12426537
UPPER,3,0.09540212,0.15127904
UPPER,4,0.30095040,0.18552815
UPPER,5,0.34592000,0.19356966
UPPER,6,0.39088960,0.18016714
UPPER,7,0.39626400,0.14264006
UPPER,8,0.50456000,0.08813981
UPPER,9,0.88000000,0.03334889
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01144825,-0.04380102
LOWER,2,0.04579302,-0.02204754
LOWER,3,0.09540212,-0.05034423
LOWER,4,0.30095040,-0.05303682
LOWER,5,0.34592000,-0.07448086
LOWER,6,0.39088960,-0.04499531
LOWER,7,0.39626400,0.00057328
LOWER,8,0.50456000,0.01815399
LOWER,9,0.88000000,0.00952509
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
