# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Heterophasia_capistrata
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 101.20 mm
# Secondary1: 83.50 mm
# Kipps Distance: 17.00 mm
# Hand-Wing Index: 16.90
# Tail Length: 112.10 mm
# Aspect Ratio: 1.212
# Pointedness Index: 0.1680
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1242
# Max Thickness Position: 0.3399
# Max Camber/Chord: 0.0584
# Max Camber Position: 0.3665
# Leading Edge Radius: 0.0354
# LE Droop: 0.0046
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.68e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01062614,0.06837684
UPPER,2,0.04250456,0.11640647
UPPER,3,0.08855117,0.14320646
UPPER,4,0.29567820,0.17521086
UPPER,5,0.33986000,0.18266426
UPPER,6,0.38404180,0.17024193
UPPER,7,0.38848700,0.13545941
UPPER,8,0.49648000,0.08445735
UPPER,9,0.88000000,0.03214543
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01062614,-0.04111856
LOWER,2,0.04250456,-0.01929711
LOWER,3,0.08855117,-0.04516666
LOWER,4,0.29567820,-0.04590658
LOWER,5,0.33986000,-0.06578231
LOWER,6,0.38404180,-0.03845319
LOWER,7,0.38848700,0.00378273
LOWER,8,0.49648000,0.01884214
LOWER,9,0.88000000,0.00964131
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
