# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Trochalopteron_henrici
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 102.80 mm
# Secondary1: 96.40 mm
# Kipps Distance: 7.10 mm
# Hand-Wing Index: 6.80
# Tail Length: 140.40 mm
# Aspect Ratio: 1.066
# Pointedness Index: 0.0691
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1322
# Max Thickness Position: 0.3459
# Max Camber/Chord: 0.0595
# Max Camber Position: 0.3746
# Leading Edge Radius: 0.0381
# LE Droop: 0.0066
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.72e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01143968,0.07527810
UPPER,2,0.04575873,0.12336052
UPPER,3,0.09533069,0.14997605
UPPER,4,0.30095040,0.18382702
UPPER,5,0.34592000,0.19175996
UPPER,6,0.39088960,0.17853840
UPPER,7,0.39626400,0.14151805
UPPER,8,0.50456000,0.08763310
UPPER,9,0.88000000,0.03320412
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01143968,-0.04376673
LOWER,2,0.04575873,-0.02146844
LOWER,3,0.09533069,-0.04929460
LOWER,4,0.30095040,-0.05151667
LOWER,5,0.34592000,-0.07267116
LOWER,6,0.39088960,-0.04358373
LOWER,7,0.39626400,0.00136955
LOWER,8,0.50456000,0.01840735
LOWER,9,0.88000000,0.00959748
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
