# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Turdoides_affinis
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 103.70 mm
# Secondary1: 93.30 mm
# Kipps Distance: 12.30 mm
# Hand-Wing Index: 11.80
# Tail Length: 100.60 mm
# Aspect Ratio: 1.111
# Pointedness Index: 0.1186
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1282
# Max Thickness Position: 0.3429
# Max Camber/Chord: 0.0591
# Max Camber Position: 0.3706
# Leading Edge Radius: 0.0368
# LE Droop: 0.0056
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.74e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01103400,0.07184401
UPPER,2,0.04413601,0.11992601
UPPER,3,0.09195002,0.14661703
UPPER,4,0.29834040,0.17953868
UPPER,5,0.34292000,0.18722868
UPPER,6,0.38749960,0.17441200
UPPER,7,0.39241400,0.13852531
UPPER,8,0.50056000,0.08608931
UPPER,9,0.88000000,0.03269686
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01103400,-0.04244401
LOWER,2,0.04413601,-0.02034171
LOWER,3,0.09195002,-0.04716826
LOWER,4,0.29834040,-0.04859820
LOWER,5,0.34292000,-0.06910488
LOWER,6,0.38749960,-0.04090819
LOWER,7,0.39241400,0.00266852
LOWER,8,0.50056000,0.01867503
LOWER,9,0.88000000,0.00963880
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
