# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Oedistoma_pygmaeum
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 45.80 mm
# Secondary1: 40.20 mm
# Kipps Distance: 5.60 mm
# Hand-Wing Index: 12.20
# Tail Length: 23.90 mm
# Aspect Ratio: 1.139
# Pointedness Index: 0.1223
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1302
# Max Thickness Position: 0.3427
# Max Camber/Chord: 0.0590
# Max Camber Position: 0.3702
# Leading Edge Radius: 0.0367
# LE Droop: 0.0056
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01100310,0.07157860
UPPER,2,0.04401240,0.12084522
UPPER,3,0.09169249,0.14806927
UPPER,4,0.29813160,0.18144350
UPPER,5,0.34268000,0.18925790
UPPER,6,0.38722840,0.17623390
UPPER,7,0.39210600,0.13976670
UPPER,8,0.50024000,0.08663242
UPPER,9,0.88000000,0.03284600
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01100310,-0.04234440
LOWER,2,0.04401240,-0.02102054
LOWER,3,0.09169249,-0.04839097
LOWER,4,0.29813160,-0.05038370
LOWER,5,0.34268000,-0.07122210
LOWER,6,0.38722840,-0.04256930
LOWER,7,0.39210600,0.00171230
LOWER,8,0.50024000,0.01835750
LOWER,9,0.88000000,0.00954487
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
