# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Microptilotis_montanus
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 82.20 mm
# Secondary1: 69.20 mm
# Kipps Distance: 12.10 mm
# Hand-Wing Index: 14.90
# Tail Length: 67.70 mm
# Aspect Ratio: 1.188
# Pointedness Index: 0.1472
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1270
# Max Thickness Position: 0.3411
# Max Camber/Chord: 0.0587
# Max Camber Position: 0.3681
# Leading Edge Radius: 0.0360
# LE Droop: 0.0050
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.29e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01079333,0.06977998
UPPER,2,0.04317332,0.11840497
UPPER,3,0.08994442,0.14542956
UPPER,4,0.29672220,0.17806115
UPPER,5,0.34106000,0.18567995
UPPER,6,0.38539780,0.17298195
UPPER,7,0.39002700,0.13742756
UPPER,8,0.49808000,0.08544937
UPPER,9,0.88000000,0.03246439
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01079333,-0.04166732
LOWER,2,0.04317332,-0.02008860
LOWER,3,0.08994442,-0.04664640
LOWER,4,0.29672220,-0.04796320
LOWER,5,0.34106000,-0.06828000
LOWER,6,0.38539780,-0.04034440
LOWER,7,0.39002700,0.00282879
LOWER,8,0.49808000,0.01861679
LOWER,9,0.88000000,0.00959579
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
