# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Myophonus_melanurus
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 115.70 mm
# Secondary1: 99.50 mm
# Kipps Distance: 16.20 mm
# Hand-Wing Index: 14.00
# Tail Length: 86.80 mm
# Aspect Ratio: 1.163
# Pointedness Index: 0.1400
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1258
# Max Thickness Position: 0.3416
# Max Camber/Chord: 0.0588
# Max Camber Position: 0.3688
# Leading Edge Radius: 0.0362
# LE Droop: 0.0052
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01085751,0.07034507
UPPER,2,0.04343005,0.11808468
UPPER,3,0.09047927,0.14467570
UPPER,4,0.29719200,0.17705482
UPPER,5,0.34160000,0.18460237
UPPER,6,0.38600800,0.17202313
UPPER,7,0.39072000,0.13680127
UPPER,8,0.49880000,0.08521036
UPPER,9,0.88000000,0.03241119
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01085751,-0.04187005
LOWER,2,0.04343005,-0.01967006
LOWER,3,0.09047927,-0.04590697
LOWER,4,0.29719200,-0.04685559
LOWER,5,0.34160000,-0.06698237
LOWER,6,0.38600800,-0.03930805
LOWER,7,0.39072000,0.00346136
LOWER,8,0.49880000,0.01885127
LOWER,9,0.88000000,0.00967081
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
