# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Astrapia_splendidissima
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 131.30 mm
# Secondary1: 118.30 mm
# Kipps Distance: 14.20 mm
# Hand-Wing Index: 10.70
# Tail Length: 171.40 mm
# Aspect Ratio: 1.110
# Pointedness Index: 0.1081
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1277
# Max Thickness Position: 0.3436
# Max Camber/Chord: 0.0592
# Max Camber Position: 0.3714
# Leading Edge Radius: 0.0371
# LE Droop: 0.0059
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.36e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01112102,0.07258611
UPPER,2,0.04448407,0.12002132
UPPER,3,0.09267516,0.14640195
UPPER,4,0.29891460,0.17923438
UPPER,5,0.34358000,0.18689750
UPPER,6,0.38824540,0.17412563
UPPER,7,0.39326100,0.13836438
UPPER,8,0.50144000,0.08606320
UPPER,9,0.88000000,0.03270543
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01112102,-0.04272607
LOWER,2,0.04448407,-0.02015742
LOWER,3,0.09267516,-0.04685462
LOWER,4,0.29891460,-0.04810495
LOWER,5,0.34358000,-0.06853995
LOWER,6,0.38824540,-0.04044183
LOWER,7,0.39326100,0.00298254
LOWER,8,0.50144000,0.01881022
LOWER,9,0.88000000,0.00968594
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
