# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Poecile_lugubris
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 74.60 mm
# Secondary1: 63.40 mm
# Kipps Distance: 11.40 mm
# Hand-Wing Index: 15.30
# Tail Length: 64.40 mm
# Aspect Ratio: 1.177
# Pointedness Index: 0.1528
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1272
# Max Thickness Position: 0.3408
# Max Camber/Chord: 0.0586
# Max Camber Position: 0.3678
# Leading Edge Radius: 0.0358
# LE Droop: 0.0049
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.14e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01075246,0.06945478
UPPER,2,0.04300985,0.11839014
UPPER,3,0.08960386,0.14553866
UPPER,4,0.29651340,0.17821369
UPPER,5,0.34082000,0.18584543
UPPER,6,0.38512660,0.17312586
UPPER,7,0.38971900,0.13751108
UPPER,8,0.49776000,0.08546709
UPPER,9,0.88000000,0.03246257
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01075246,-0.04152785
LOWER,2,0.04300985,-0.02017519
LOWER,3,0.08960386,-0.04679458
LOWER,4,0.29651340,-0.04819457
LOWER,5,0.34082000,-0.06854588
LOWER,6,0.38512660,-0.04056283
LOWER,7,0.38971900,0.00268369
LOWER,8,0.49776000,0.01855547
LOWER,9,0.88000000,0.00957462
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
