# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Atlapetes_personatus
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 78.40 mm
# Secondary1: 68.50 mm
# Kipps Distance: 9.50 mm
# Hand-Wing Index: 12.20
# Tail Length: 78.60 mm
# Aspect Ratio: 1.145
# Pointedness Index: 0.1212
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1294
# Max Thickness Position: 0.3427
# Max Camber/Chord: 0.0590
# Max Camber Position: 0.3702
# Leading Edge Radius: 0.0367
# LE Droop: 0.0056
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.21e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01100870,0.07161217
UPPER,2,0.04403478,0.12042603
UPPER,3,0.09173913,0.14746565
UPPER,4,0.29813160,0.18065544
UPPER,5,0.34268000,0.18841954
UPPER,6,0.38722840,0.17547937
UPPER,7,0.39210600,0.13924691
UPPER,8,0.50024000,0.08639767
UPPER,9,0.88000000,0.03277893
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01100870,-0.04236678
LOWER,2,0.04403478,-0.02075226
LOWER,3,0.09173913,-0.04790472
LOWER,4,0.29813160,-0.04967947
LOWER,5,0.34268000,-0.07038374
LOWER,6,0.38722840,-0.04191538
LOWER,7,0.39210600,0.00208118
LOWER,8,0.50024000,0.01847487
LOWER,9,0.88000000,0.00957841
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
