# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Dysithamnus_leucostictus
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 69.30 mm
# Secondary1: 61.50 mm
# Kipps Distance: 8.10 mm
# Hand-Wing Index: 11.70
# Tail Length: 47.60 mm
# Aspect Ratio: 1.127
# Pointedness Index: 0.1169
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1305
# Max Thickness Position: 0.3430
# Max Camber/Chord: 0.0591
# Max Camber Position: 0.3706
# Leading Edge Radius: 0.0368
# LE Droop: 0.0057
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.04e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01104588,0.07193526
UPPER,2,0.04418350,0.12111230
UPPER,3,0.09204897,0.14829318
UPPER,4,0.29839260,0.18172480
UPPER,5,0.34298000,0.18955365
UPPER,6,0.38756740,0.17650556
UPPER,7,0.39249100,0.13997092
UPPER,8,0.50064000,0.08674650
UPPER,9,0.88000000,0.03288612
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01104588,-0.04248550
LOWER,2,0.04418350,-0.02107841
LOWER,3,0.09204897,-0.04850543
LOWER,4,0.29839260,-0.05053116
LOWER,5,0.34298000,-0.07140810
LOWER,6,0.38756740,-0.04270231
LOWER,7,0.39249100,0.00166119
LOWER,8,0.50064000,0.01835780
LOWER,9,0.88000000,0.00954896
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
