# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Phlegopsis_erythroptera
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 92.60 mm
# Secondary1: 84.10 mm
# Kipps Distance: 10.30 mm
# Hand-Wing Index: 11.10
# Tail Length: 65.00 mm
# Aspect Ratio: 1.101
# Pointedness Index: 0.1112
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1294
# Max Thickness Position: 0.3433
# Max Camber/Chord: 0.0591
# Max Camber Position: 0.3711
# Leading Edge Radius: 0.0370
# LE Droop: 0.0058
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.50e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01109306,0.07233837
UPPER,2,0.04437225,0.12072578
UPPER,3,0.09244218,0.14754428
UPPER,4,0.29870580,0.18073415
UPPER,5,0.34334000,0.18849568
UPPER,6,0.38797420,0.17555981
UPPER,7,0.39295300,0.13933937
UPPER,8,0.50112000,0.08648687
UPPER,9,0.88000000,0.03282075
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01109306,-0.04263825
LOWER,2,0.04437225,-0.02069684
LOWER,3,0.09244218,-0.04782504
LOWER,4,0.29870580,-0.04952433
LOWER,5,0.34334000,-0.07022173
LOWER,6,0.38797420,-0.04176281
LOWER,7,0.39295300,0.00221915
LOWER,8,0.50112000,0.01855471
LOWER,9,0.88000000,0.00960990
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
