# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Incaspiza_personata
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 71.50 mm
# Secondary1: 64.90 mm
# Kipps Distance: 6.70 mm
# Hand-Wing Index: 9.20
# Tail Length: 74.00 mm
# Aspect Ratio: 1.102
# Pointedness Index: 0.0937
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1323
# Max Thickness Position: 0.3445
# Max Camber/Chord: 0.0593
# Max Camber Position: 0.3726
# Leading Edge Radius: 0.0375
# LE Droop: 0.0062
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.08e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01124058,0.07360347
UPPER,2,0.04496231,0.12274374
UPPER,3,0.09367148,0.14984476
UPPER,4,0.29969760,0.18369906
UPPER,5,0.34448000,0.19163761
UPPER,6,0.38926240,0.17840669
UPPER,7,0.39441600,0.14136011
UPPER,8,0.50264000,0.08747572
UPPER,9,0.88000000,0.03312953
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01124058,-0.04311431
LOWER,2,0.04496231,-0.02157401
LOWER,3,0.09367148,-0.04944828
LOWER,4,0.29969760,-0.05181134
LOWER,5,0.34448000,-0.07298081
LOWER,6,0.38926240,-0.04387278
LOWER,7,0.39441600,0.00111235
LOWER,8,0.50264000,0.01826032
LOWER,9,0.88000000,0.00953973
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
