# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pheugopedius_schulenbergi
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 69.60 mm
# Secondary1: 63.20 mm
# Kipps Distance: 6.40 mm
# Hand-Wing Index: 9.20
# Tail Length: 65.20 mm
# Aspect Ratio: 1.101
# Pointedness Index: 0.0920
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1325
# Max Thickness Position: 0.3445
# Max Camber/Chord: 0.0593
# Max Camber Position: 0.3726
# Leading Edge Radius: 0.0375
# LE Droop: 0.0062
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.04e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01124951,0.07365709
UPPER,2,0.04499806,0.12281772
UPPER,3,0.09374595,0.14995129
UPPER,4,0.29969760,0.18383813
UPPER,5,0.34448000,0.19178556
UPPER,6,0.38926240,0.17853985
UPPER,7,0.39441600,0.14145184
UPPER,8,0.50264000,0.08751715
UPPER,9,0.88000000,0.03314137
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01124951,-0.04315006
LOWER,2,0.04499806,-0.02162135
LOWER,3,0.09374595,-0.04953409
LOWER,4,0.29969760,-0.05193562
LOWER,5,0.34448000,-0.07312876
LOWER,6,0.38926240,-0.04398819
LOWER,7,0.39441600,0.00104725
LOWER,8,0.50264000,0.01823961
LOWER,9,0.88000000,0.00953381
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
