# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Platyrinchus_cancrominus
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 56.80 mm
# Secondary1: 48.90 mm
# Kipps Distance: 8.10 mm
# Hand-Wing Index: 14.10
# Tail Length: 28.00 mm
# Aspect Ratio: 1.162
# Pointedness Index: 0.1426
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1285
# Max Thickness Position: 0.3415
# Max Camber/Chord: 0.0588
# Max Camber Position: 0.3687
# Leading Edge Radius: 0.0361
# LE Droop: 0.0052
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.04e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01084125,0.07022751
UPPER,2,0.04336501,0.11943205
UPPER,3,0.09034376,0.14664837
UPPER,4,0.29713980,0.17963266
UPPER,5,0.34154000,0.18734552
UPPER,6,0.38594020,0.17449076
UPPER,7,0.39064300,0.13849745
UPPER,8,0.49872000,0.08597159
UPPER,9,0.88000000,0.03262703
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01084125,-0.04181101
LOWER,2,0.04336501,-0.02055592
LOWER,3,0.09034376,-0.04751051
LOWER,4,0.29713980,-0.04918196
LOWER,5,0.34154000,-0.06974957
LOWER,6,0.38594020,-0.04146911
LOWER,7,0.39064300,0.00223706
LOWER,8,0.49872000,0.01845809
LOWER,9,0.88000000,0.00955759
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
